nullrtA1c2a0,rtA1c2a1,rtA1c2a2,rtA1c2a3,rtA1c2a4,rtA1c2a5,rtA1c2a6,rtA1c2a7,rtA1c2a8,rtA1c2a9,rtA1c2a10,rtA1c2a11,rtA1c2a12,rtA1c2a13,rtA1c2a14,rtA1c2a15,rtA1c2a16,rtA1c2a17,rtA1c2a18,rtA1c2a19,rtA1c2a20,rtA1c2a21,rtA1c2a22,rtA1c2a23,rtA1c2a24,rtA1c2a25,rtA1c2a26,rtA1c2a27,rtA1c2a28,rtA1c2a29,rtA1c2a30,rtA1c2a31,rtA1c2a32,rtA1c2a33,rtA1c2a34,rtA1c2a35,rtA1c2a36,rtA1c2a37,rtA1c2a38,rtA1c2a39,rtA1c2a40,rtA1c2a41,rtA1c2a42,rtA1c2a43,rtA1c2a44,rtA1c2a45,rtA1c2a46,rtA1c2a47,rtA1c2a48,rtA1c2a49,rtA1c2a50,rtA1c2a51,rtA1c2a52,rtA1c2a53,rtA1c2a54,rtA1c2a55,rtA1c2a56,rtA1c2a57,rtA1c2a58,rtA1c2a59,rtA1c2a60,rtA1c2a61,rtA1c2a62,rtA1c2a63,rtA1c2a64,rtA1c2a65,rtA1c2a66,rtA1c2a67,rtA1c2a68,rtA1c2a69,rtA1c2a70,rtA1c2a71,rtA1c2a72,rtA1c2a73,rtA1c2a74,rtA1c2a75,rtA1c2a76,rtA1c2a77,rtA1c2a78,rtA1c2a79,rtA1c2a80,rtA1c2a81,rtA1c2a82,rtA1c2a83,rtA1c2a84,rtA1c2a85,rtA1c2a86,rtA1c2a87,rtA1c2a88,rtA1c2a89,rtA1c2a90,rtA1c2a91,rtA1c2a92,rtA1c2a93,rtA1c2a94,rtA1c2a95,rtA1c2a96,rtA1c2a97,rtA1c2a98,rtA1c2a99,rtA1c2a100,rtA1c2a101,rtA1c2a102,rtA1c2a103,rtA1c2a104,rtA1c2a105,rtA1c2a106,rtA1c2a107,rtA1c2a108,rtA1c2a109,rtA1c2a110,rtA1c2a111,rtA1c2a112,rtA1c2a113,rtA1c2a114,rtA1c2a115,rtA1c2a116,rtA1c2a117,rtA1c2a118,rtA1c2a119,rtA1c2a120,rtA1c2a121,rtA1c2a122,rtA1c2a123,rtA1c2a124,rtA1c2a125,rtA1c2a126,rtA1c2a127,rtA1c2a128,rtA1c2a129,rtA1c2a130,rtA1c2a131,rtA1c2a132,rtA1c2a133,rtA1c2a134,rtA1c2a135,rtA1c2a136,rtA1c2a137,rtA1c2a138,rtA1c2a139,rtA1c2a140,rtA1c2a141,rtA1c2a142,rtA1c2a143,rtA1c2a144,rtA1c2a145,rtA1c2a146,rtA1c2a147,rtA1c2a148,rtA1c2a149,rtA1c2a150,rtA1c2a151,rtA1c2a152,rtA1c2a153,rtA1c2a154,rtA1c2a155,rtA1c2a156,rtA1c2a157,rtA1c2a158,rtA1c2a159,rtA1c2a160,rtA1c2a161,rtA1c2a162,rtA1c2a163,rtA1c2a164,rtA1c2a165,rtA1c2a166,rtA1c2a167,rtA1c2a168,rtA1c2a169,rtA1c2a170,rtA1c2a171,rtA1c2a172,rtA1c2a173,rtA1c2a174,rtA1c2a175,rtA1c2a176,rtA1c2a177,rtA1c2a178,rtA1c2a179,rtA1c2a180,rtA1c2a181,rtA1c2a182,rtA1c2a183,rtA1c2a184,rtA1c2a185,rtA1c2a186,rtA1c2a187,rtA1c2a188,rtA1c2a189,rtA1c2a190,rtA1c2a191,rtA1c2a192,rtA1c2a193,rtA1c2a194,rtA1c2a195,rtA1c2a196,rtA1c2a197,rtA1c2a198,rtA1c2a199,rtA1c2a200,rtA1c2a201,rtA1c2a202,rtA1c2a203,rtA1c2a204,rtA1c2a205,rtA1c2a206,rtA1c2a207,rtA1c2a208,rtA1c2a209,rtA1c2a210,rtA1c2a211,rtA1c2a212,rtA1c2a213,rtA1c2a214,rtA1c2a215,rtA1c2a216,rtA1c2a217,rtA1c2a218,rtA1c2a219,rtA1c2a220,rtA1c2a221,rtA1c2a222,rtA1c2a223,rtA1c2a224,rtA1c2a225,rtA1c2a226,rtA1c2a227,rtA1c2a228,rtA1c2a229,rtA1c2a230,rtA1c2a231,rtA1c2a232,rtA1c2a233,rtA1c2a234,rtA1c2a235,rtA1c2a236,rtA1c2a237,rtA1c2a238,rtA1c2a239,rtA1c2a240,rtA1c2a241,rtA1c2a242,rtA1c2a243,rtA1c2a244,rtA1c2a245,rtA1c2a246,rtA1c2a247,rtA1c2a248,rtA1c2a249,rtA1c2a250,rtA1c2a251,rtA1c2a252,rtA1c2a253,rtA1c2a254,rtA1c2a255,rtA1c2a256,rtA1c2a257,rtA1c2a258,rtA1c2a259,rtA1c2a260,rtA1c2a261,rtA1c2a262,rtA1c2a263,rtA1c2a264,rtA1c2a265,rtA1c2a266,rtA1c2a267,rtA1c2a268,rtA1c2a269,rtA1c2a270,rtA1c2a271,rtA1c2a272,rtA1c2a273,rtA1c2a274,rtA1c2a275,rtA1c2a276,rtA1c2a277,rtA1c2a278,rtA1c2a279,rtA1c2a280,rtA1c2a281,rtA1c2a282,rtA1c2a283,rtA1c2a284,rtA1c2a285,rtA1c2a286,rtA1c2a287,rtA1c2a288,rtA1c2a289,rtA1c2a290,rtA1c2a291,rtA1c2a292,rtA1c2a293,rtA1c2a294,rtA1c2a295,rtA1c2a296,rtA1c2a297,rtA1c2a298,rtA1c2a299,rtA1c2a300
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
0,286,1316,2320,2421,2521,2621,2720,2740,2742,2743,2743,2743,1316,2743,2743,2743,2743,2743,2743,2743,2744,2744,2745,1316,2745,2745,2745,2745,2745,2745,2745,2745,2745,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,1316,2746,2746,2746,2746,2746,2746,2746,2782,2882,2982,1316,3081,3181,3282,3381,3482,3582,3682,3781,3882,3981,1316,4006,4006,4006,4006,4006,4087,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4152,1316,4152,4152,4152,4152,4152,4152,4152,4152,4152,4163,486,1316,4163,4163,4163,4163,4163,4163,4163,4163,4166,4166,1316,4166,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4167,4167,4167,4167,4167,1316,4167,4167,4167,4167,4167,4170,4562,5011,5461,5911,1316,6357,6795,7191,7591,7995,8395,8794,9209,9687,10182,1316,10643,11004,11202,11402,11606,11806,12006,12206,12406,12999,1316,13599,14205,14805,15405,15999,16599,17199,17798,18398,18997,1316,19294,19595,19895,20195,20495,20792,21092,21392,21692,21995,1316,22292,22592,22892,23195,23492,23792,24031,24229,24431,24631,1316,24831,25029,25234,25434,25634,25777,25878,25977,26078,26177,683,1316,26278,1316,1316,1316,1316,1316,1316,1316,1316,1316,883,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1085,1316,1316,1316,1317,1317,1317,1317,1317,1317,1317,1142,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1192,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1242,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1292,1334,1424,1523,1623,1722,1822,1921,2021,2121,2220
